"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"w";"Voltage";"Y"
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.88;0.018461513149112
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.86;0.03629523600415
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.84;0.055110923940149
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.82;0.079604263873126
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.8;0.12215419196106
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.78;0.197208990113805
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.76;0.2960966255718
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.74;0.378125846758199
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.72;0.66596102382356
-25;98;-93;123;62;-125;-90;-70;-128;-90;118;102;101;57;49;48;-28;-107;-92;115;7;-127;104;-91;0.7;1
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;1;0
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.98;0.006111163764618
97;-101;-2;-92;110;15;96;-30;106;-122;-86;52;2;-99;107;-68;88;67;12;-54;52;-115;71;-71;0.96;0.02011004059733
